t͡ʃai 1.0	t͡ʃ a i
t͡ʃɨ̃ʔt͡ʃɨ 1.0	t͡ʃ ɨ̃ ʔ t͡ʃ ɨ
pǎːmɨ̃̀ 1.0	p a m ɨ̃
mǎː-pɨ̀-á 1.0	m a p ɨ a
ho*e 1.0	h o * e
ɲaʔuɲaʔumɨ̃̀ 1.0	ɲ a ʔ u ɲ a ʔ u m ɨ̃
nàsó 1.0	n a s o
hõˀhomɨ̃ 1.0	h õ h o m ɨ̃
ápè-ɦáˀ-mɨ̀ 1.0	a p e ɦ aˀ m ɨ
ásímàká-pǎː-mɨ̀ 1.0	a s i m a k a p a m ɨ
nèˀnè-máˀ-mɨ̀ 1.0	n eˀ n e m aˀ m ɨ
pítʰò-mé 1.0	p i tʰ o m e
kʰùkʰúcè 1.0	kʰ u kʰ u c e
ɲʲâː-ɳʲè 1.0	ɲ a ɳ e
kueˀkomɨ̃̀ 1.0	k u eˀ k o m ɨ̃
maˀʔkarɨ 1.0	m aˀ ʔ k a r ɨ
t͡ʃe*ero 1.0	t͡ʃ e * e r o
βẽβeɲɨ 1.0	β ẽ β e ɲ ɨ
ãˀkapɨ 1.0	ã k a p ɨ
néàtʰó 1.0	n e a tʰ o
aˀt͡ʃo 1.0	aˀ t͡ʃ o
mìkʰá̰pɨ̀ 1.0	m i kʰ a p ɨ
ìnsí 1.0	i n s i
o*et͡ʃo 1.0	o * e t͡ʃ o
hǎː-cɨ̂-sósìkɨ́-m 1.0	h a c ɨ s o s i k ɨ m
íè 1.0	i e
t͡ʃio 1.0	t͡ʃ i o
kʰóˀkʰó-mà̰-mɨ̀ 1.0	kʰ oˀ kʰ o m a m ɨ
ro*imɨ̃ 1.0	r o * i m ɨ̃
nè*é-ɲʲù-màˀ-mɨ̀ 1.0	n e * e ɲ u m aˀ m ɨ
sɨ̃sɨ 1.0	s ɨ̃ s ɨ
kòrèbàhɨ́ 1.0	k o r e b a h ɨ
ũˀku 1.0	ũ k u
kunare*a 1.0	k u n a r e * a
kʰàí-mɨ̀ 1.0	kʰ a i m ɨ
mǎː 1.0	m a
β̞eʔse 1.0	β e ʔ s e
nèˀnè-ɲʲé 1.0	n eˀ n e ɲ e
kõsa 1.0	k õ s a
mìʔá 1.0	m i ʔ a
hɨ̀tʰɨ́ 1.0	h ɨ tʰ ɨ
kòhí 1.0	k o h i
tʰáɾà-pɨ́ 1.0	tʰ a ɾ a p ɨ
t͡ʃaˀt͡ʃomɨ̃̀ 1.0	t͡ʃ aˀ t͡ʃ o m ɨ̃
ka*imɨ̃̀ 1.0	k a * i m ɨ̃
